Reference,Original Value,Target Part,Link,Datasheet,Summary
R38,220,YAGEO RC0805FR-07220RL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 220 Ohms 1% 1/8W
R39,2.2k,YAGEO RC0805FR-072K2L,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 2.2K Ohms 1% 1/8W
R40,2.2k,YAGEO RC0805FR-072K2L,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 2.2K Ohms 1% 1/8W
R41,100k,YAGEO RC0805FR-07100KL,https://www.yageo.com/en/Product/Index/Resistors/rc_series,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_13.pdf,RES 0805 100K Ohms 1% 1/8W
TP1,TestPoint,Generic SMD Test Point,N/A,N/A,Test Point Pad 1.5x1.5mm
TP2,TestPoint,Generic SMD Test Point,N/A,N/A,Test Point Pad 1.5x1.5mm
TP3,TestPoint,Generic SMD Test Point,N/A,N/A,Test Point Pad 1.5x1.5mm
TP4,TestPoint,Generic SMD Test Point,N/A,N/A,Test Point Pad 1.5x1.5mm
U1,ULN2003A,STMicroelectronics ULN2003A,https://www.st.com/en/interfaces-and-transceivers/uln2003a.html,https://www.st.com/resource/en/datasheet/uln2003a.pdf,IC-2003 PWR RELAY 7NPN 1:1 16DIP/SOIC
U2,ULN2003A,STMicroelectronics ULN2003A,https://www.st.com/en/interfaces-and-transceivers/uln2003a.html,https://www.st.com/resource/en/datasheet/uln2003a.pdf,IC-2003 PWR RELAY 7NPN 1:1 16DIP/SOIC
U3,AQY212GZS,Panasonic AQY212GSZ,https://industry.panasonic.eu/components/relays/photomos-relays/aqy212gsz,https://industry.panasonic.eu/sites/default/files/2021-02/photomos_sop_1a_eng.pdf,PhotoMOS Relay SOP-4
U4,TS3552CS,TAIWAN SEMICONDUCTOR TS3552CS RLG,https://www.taiwansemi.com/en/products/details/TS3552CS,https://www.taiwansemi.com/assets/uploads/datasheet/TS3552_E1511.pdf,IC DC-DC CONVERTER SMD 2A/350kHz TS3552 SOP8
U5,TS3552CS,TAIWAN SEMICONDUCTOR TS3552CS RLG,https://www.taiwansemi.com/en/products/details/TS3552CS,https://www.taiwansemi.com/assets/uploads/datasheet/TS3552_E1511.pdf,IC DC-DC CONVERTER SMD 2A/350kHz TS3552 SOP8
