Reference,Original Value,Ozdisan Part Name,Link,Datasheet,Summary
D7,LED,INFOREC LED XC-0805YVC,https://www.ozdisan.com/en/p/led-signal-color-361/inforec-led-xc-0805yvc-349097,N/A,LED SMD 0805 YELLOW 100mcd 120° WATER CLEAR
J1,Conn_02x20_Odd_Even,KLS ELECTRONIC L-KLS1-207-2-40-S-3X10,https://www.ozdisan.com/p/pin-headerlar-293/kls-electronic-l-kls1-207-2-40-s-3x10-458436,N/A,PIN HEADER 40PIN (2x20) 2.54mm THT V/T
J2,Screw_Terminal_01x10,WAGO 256-410,https://www.ozdisan.com/search?q=256-410,N/A,PCB Terminal Block 10-Pole 2.5mm2 256 Series
L1,22uH,CORE MASTER SRI1004-220M,https://www.ozdisan.com/en/p/fixed-inductors-468/core-master-sri1004-220m-527910,N/A,INDUCTOR POWER 22UH 10X10MM SMD 3A
L2,22uH,CORE MASTER SRI1004-220M,https://www.ozdisan.com/en/p/fixed-inductors-468/core-master-sri1004-220m-527910,N/A,INDUCTOR POWER 22UH 10X10MM SMD 3A
Q1,AO3400A,ALPHA&OMEGA AO3400A,https://www.ozdisan.com/en/p/discrete-mosfets-435/alphaomega-ao3400a-736346,http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf,MOSFET DIS.5.7A 30V N-CH SOT23 SMT
Q2,AO3400A,ALPHA&OMEGA AO3400A,https://www.ozdisan.com/en/p/discrete-mosfets-435/alphaomega-ao3400a-736346,http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf,MOSFET DIS.5.7A 30V N-CH SOT23 SMT
Q3,AO3400A,ALPHA&OMEGA AO3400A,https://www.ozdisan.com/en/p/discrete-mosfets-435/alphaomega-ao3400a-736346,http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf,MOSFET DIS.5.7A 30V N-CH SOT23 SMT
R1,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R3,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R5,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R7,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R9,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R11,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R13,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R29,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R30,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R31,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R32,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R33,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R35,10k,YAGEO RC0805FR-0710KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 10K Ohms 1% 1/8W
R2,1k,YAGEO RC0805FR-071KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 1K Ohms 1% 1/8W
R4,1k,YAGEO RC0805FR-071KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 1K Ohms 1% 1/8W
R6,1k,YAGEO RC0805FR-071KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 1K Ohms 1% 1/8W
R8,1k,YAGEO RC0805FR-071KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 1K Ohms 1% 1/8W
R10,1k,YAGEO RC0805FR-071KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 1K Ohms 1% 1/8W
R12,1k,YAGEO RC0805FR-071KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 1K Ohms 1% 1/8W
R14,1k,YAGEO RC0805FR-071KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 1K Ohms 1% 1/8W
R42,1k,YAGEO RC0805FR-071KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 1K Ohms 1% 1/8W
R15,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R16,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R17,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R18,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R19,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R20,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R21,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R22,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R23,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R24,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R25,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R26,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R43,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R44,330,YAGEO RC0805FR-07330RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 330 Ohms 1% 1/8W
R27,470,YAGEO RC0805FR-07470RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 470 Ohms 1% 1/8W
R28,44.2k,YAGEO RC0805FR-0744K2L,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 44.2K Ohms 1% 1/8W
R34,44.2k,YAGEO RC0805FR-0744K2L,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 44.2K Ohms 1% 1/8W
R36,220,YAGEO RC0805FR-07220RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 220 Ohms 1% 1/8W
R37,220,YAGEO RC0805FR-07220RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 220 Ohms 1% 1/8W
R38,220,YAGEO RC0805FR-07220RL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 220 Ohms 1% 1/8W
R39,2.2k,YAGEO RC0805FR-072K2L,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 2.2K Ohms 1% 1/8W
R40,2.2k,YAGEO RC0805FR-072K2L,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 2.2K Ohms 1% 1/8W
R41,100k,YAGEO RC0805FR-07100KL,https://www.ozdisan.com/ps/smt-smd-and-chip-resistors-194,N/A,RES 0805 100K Ohms 1% 1/8W
TP1,TestPoint,Generic SMD Test Point,N/A,N/A,Test Point Pad 1.5x1.5mm
TP2,TestPoint,Generic SMD Test Point,N/A,N/A,Test Point Pad 1.5x1.5mm
TP3,TestPoint,Generic SMD Test Point,N/A,N/A,Test Point Pad 1.5x1.5mm
TP4,TestPoint,Generic SMD Test Point,N/A,N/A,Test Point Pad 1.5x1.5mm
U1,ULN2003A,STM ULN2003A,https://www.ozdisan.com/p/sira-transistor-entegreler-240/stm-uln2003a-603053,http://www.ti.com/lit/ds/symlink/uln2003a.pdf,IC-2003 PWR RELAY 7NPN 1:1 16DIP
U2,ULN2003A,STM ULN2003A,https://www.ozdisan.com/p/sira-transistor-entegreler-240/stm-uln2003a-603053,http://www.ti.com/lit/ds/symlink/uln2003a.pdf,IC-2003 PWR RELAY 7NPN 1:1 16DIP
U3,AQY212GZS,Panasonic AQY212GSZ,N/A,N/A,PhotoMOS Relay SO-4
U4,TS3552CS,TSC TS3552CS RLG,https://www.ozdisan.com/en/p/dc-dc-voltaj-kontrolorleri-274/tsc-ts3552cs-rlg-1211031,N/A,IC DC-DC CONVERTER SMD 2A/350kHz TS3552 SOP8
U5,TS3552CS,TSC TS3552CS RLG,https://www.ozdisan.com/en/p/dc-dc-voltaj-kontrolorleri-274/tsc-ts3552cs-rlg-1211031,N/A,IC DC-DC CONVERTER SMD 2A/350kHz TS3552 SOP8
